"geographic_level","area","Summary Profession Category","Detailed Profession Category","time_period","vacancies"
"LEP","Black Country","Hospitality","Hospitality Personnel (other)","Oct 22","15"
"LEP","Black Country","Hospitality","Kitchen Assistants","Oct 22","75"
"LEP","Black Country","Information and Communication Technology","Consultants and Specialists","Oct 22","105"
"LEP","Black Country","Information and Communication Technology","Database Specialists","Oct 22","65"
"LEP","Black Country","Information and Communication Technology","Information and Communication Technology (other)","Oct 22","40"
"LEP","Black Country","Information and Communication Technology","IT Coordinators","Oct 22","35"
"LEP","Black Country","Information and Communication Technology","IT Managers","Oct 22","65"
"LEP","Black Country","Information and Communication Technology","IT R&D Professionals","Oct 22","[x]"
"LEP","Black Country","Information and Communication Technology","IT Testers","Oct 22","25"
"LEP","Black Country","Information and Communication Technology","Network Specialists","Oct 22","25"
"LEP","Black Country","Information and Communication Technology","Programmers","Oct 22","270"
"LEP","Black Country","Information and Communication Technology","Support Staff","Oct 22","155"
"LEP","Black Country","Information and Communication Technology","System and Application Administrators","Oct 22","25"
"LEP","Black Country","Information and Communication Technology","System Developers and Analysts","Oct 22","90"
"LEP","Black Country","Information and Communication Technology","Web Professionals","Oct 22","35"
"LEP","Black Country","Installation, Repair and Maintenance","Electrical Equipment Mechanics","Oct 22","50"
"LEP","Black Country","Installation, Repair and Maintenance","Elevator, Escalator, and Door Mechanics","Oct 22","10"
"LEP","Black Country","Installation, Repair and Maintenance","Gauge and Valve Mechanics","Oct 22","5"
"LEP","Black Country","Installation, Repair and Maintenance","Industrial Machinery Mechanics","Oct 22","130"
"LEP","Black Country","Installation, Repair and Maintenance","Installation, Repair and Maintenance (other)","Oct 22","75"
"LEP","Black Country","Installation, Repair and Maintenance","Installation, Repair and Maintenance Inspectors","Oct 22","5"
"LEP","Black Country","Installation, Repair and Maintenance","Installation, Repair, and Maintenance Heads/managers","Oct 22","80"
"LEP","Black Country","Installation, Repair and Maintenance","Mechanics and Joiners (other)","Oct 22","25"
"LEP","Black Country","Installation, Repair and Maintenance","Mobile Machinery Mechanics","Oct 22","10"
"LEP","Black Country","Installation, Repair and Maintenance","Office Equipment Mechanics","Oct 22","5"
"LEP","Black Country","Installation, Repair and Maintenance","Plane, Train and Ship Mechanics","Oct 22","5"
"LEP","Black Country","Installation, Repair and Maintenance","Precision and Musical Instrument Technicians","Oct 22","[x]"
"LEP","Black Country","Installation, Repair and Maintenance","Refrigeration, Heating, and White Goods Mechanics","Oct 22","65"
"LEP","Black Country","Installation, Repair and Maintenance","Vehicle Mechanics","Oct 22","255"
"LEP","Black Country","Insurance and Finance","Accountants","Oct 22","365"
"LEP","Black Country","Insurance and Finance","Bank Branch Employees","Oct 22","15"
"LEP","Black Country","Insurance and Finance","Economists","Oct 22","[x]"
"LEP","Black Country","Insurance and Finance","Financial Directors","Oct 22","30"
"LEP","Black Country","Insurance and Finance","Financial Experts","Oct 22","60"
"LEP","Black Country","Insurance and Finance","Insurance & Finance Advisors","Oct 22","75"
"LEP","Black Country","Insurance and Finance","Insurance & Finance Managers","Oct 22","165"
"LEP","Black Country","Insurance and Finance","Insurance & Finance Personnel","Oct 22","25"
"LEP","Black Country","Insurance and Finance","Insurance and Finance (other)","Oct 22","[x]"
"LEP","Black Country","Insurance and Finance","Insurance Specialists","Oct 22","40"
"LEP","Black Country","Legal, Human Resources and Social Services","Clergy and Pastoral Workers","Oct 22","5"
"LEP","Black Country","Legal, Human Resources and Social Services","Court Support Staff","Oct 22","45"
"LEP","Black Country","Legal, Human Resources and Social Services","Judges","Oct 22","[x]"
"LEP","Black Country","Legal, Human Resources and Social Services","Labour Managers","Oct 22","135"
"LEP","Black Country","Legal, Human Resources and Social Services","Lawyers","Oct 22","175"
"LEP","Black Country","Legal, Human Resources and Social Services","Lawyers and Support Staff","Oct 22","[x]"
"LEP","Black Country","Legal, Human Resources and Social Services","Legal, Human Resources and Social Services (other)","Oct 22","5"
"LEP","Black Country","Legal, Human Resources and Social Services","Notaries and Support Staff","Oct 22","5"
"LEP","Black Country","Legal, Human Resources and Social Services","Occupational Health Experts and Inspectors","Oct 22","35"
"LEP","Black Country","Legal, Human Resources and Social Services","Personnel and Labour Experts","Oct 22","335"
"LEP","Black Country","Legal, Human Resources and Social Services","Prosecutors","Oct 22","[x]"
"LEP","Black Country","Legal, Human Resources and Social Services","Public Sector Work and Income Specialists","Oct 22","[x]"
"LEP","Black Country","Legal, Human Resources and Social Services","Social Work Managers","Oct 22","5"
"LEP","Black Country","Legal, Human Resources and Social Services","Social Workers","Oct 22","395"
"LEP","Black Country","Leisure, Sports and Tourism","Casino Staff and Bookmakers","Oct 22","10"
"LEP","Black Country","Leisure, Sports and Tourism","Entertainers","Oct 22","[x]"
"LEP","Black Country","Leisure, Sports and Tourism","Information Desk Personnel","Oct 22","[x]"
"LEP","Black Country","Leisure, Sports and Tourism","Leisure, Sports and Tourism (other)","Oct 22","[x]"
"LEP","Black Country","Leisure, Sports and Tourism","Professional Athletes","Oct 22","[x]"
"LEP","Black Country","Leisure, Sports and Tourism","Recreation and Tourism Managers and Directors","Oct 22","25"
"LEP","Black Country","Leisure, Sports and Tourism","Recreation Employees","Oct 22","15"
"LEP","Black Country","Leisure, Sports and Tourism","Sports Instructors","Oct 22","40"
"LEP","Black Country","Leisure, Sports and Tourism","Sports Officials","Oct 22","[x]"
"LEP","Black Country","Leisure, Sports and Tourism","Stewards and Hosts","Oct 22","5"
"LEP","Black Country","Leisure, Sports and Tourism","Tour Leaders and Guides","Oct 22","[x]"
"LEP","Black Country","Leisure, Sports and Tourism","Trainers and Coaches","Oct 22","30"
"LEP","Black Country","Leisure, Sports and Tourism","Travel and Travel Agency Personnel","Oct 22","15"
"LEP","Black Country","Management, Policy and Governance","General Directors","Oct 22","30"
"LEP","Black Country","Management, Policy and Governance","General Managers","Oct 22","[x]"
"LEP","Black Country","Management, Policy and Governance","Governance and Industry Policy Managers","Oct 22","5"
"LEP","Black Country","Management, Policy and Governance","Government Administrators","Oct 22","5"
"LEP","Black Country","Management, Policy and Governance","Government Inspectors","Oct 22","10"
"LEP","Black Country","Management, Policy and Governance","Heads of Public Authorities","Oct 22","5"
"LEP","Black Country","Management, Policy and Governance","Management Analysts and Consultants","Oct 22","155"
"LEP","Black Country","Management, Policy and Governance","Management, Policy and Governance (other)","Oct 22","535"
"LEP","Black Country","Management, Policy and Governance","Policy Advisers","Oct 22","10"
"LEP","Black Country","Management, Policy and Governance","Political Legislators, Representatives","Oct 22","5"
"LEP","Black Country","Management, Policy and Governance","Public Authorities Directors","Oct 22","[x]"
"LEP","Black Country","Management, Policy and Governance","Secretaries (associations and government services)","Oct 22","[x]"
"LEP","Black Country","Management, Policy and Governance","Union and Association Directors","Oct 22","[x]"
"LEP","Black Country","Natural and Environmental Sciences","Biologists","Oct 22","5"
"LEP","Black Country","Natural and Environmental Sciences","Chemists and Laboratory Technicians","Oct 22","15"
"LEP","Black Country","Natural and Environmental Sciences","Environmentalists and Inspectors","Oct 22","10"
"LEP","Black Country","Natural and Environmental Sciences","Geologists and Physical Geographers","Oct 22","5"
"LEP","Black Country","Natural and Environmental Sciences","Heads of Natural and Environmental Sciences","Oct 22","5"
"LEP","Black Country","Natural and Environmental Sciences","Mathematicians and Statisticians","Oct 22","[x]"
"LEP","Black Country","Natural and Environmental Sciences","Natural and Environmental Sciences (other)","Oct 22","10"
"LEP","Black Country","Natural and Environmental Sciences","Physicists","Oct 22","[x]"
"LEP","Black Country","Other","Other Professions","Oct 22","1445"
"LEP","Black Country","Personal Services","Animal Trainers, Caregivers, and Keepers","Oct 22","5"
"LEP","Black Country","Personal Services","Beauticians","Oct 22","5"
"LEP","Black Country","Personal Services","Funeral Personnel","Oct 22","5"
"LEP","Black Country","Personal Services","Hairdressers","Oct 22","5"
"LEP","Black Country","Personal Services","Personal Care Company Managers","Oct 22","5"
"LEP","Black Country","Personal Services","Personal Services (other)","Oct 22","5"
"LEP","Black Country","Personal Services","Stylists","Oct 22","[x]"
"LEP","Black Country","Police, Fire Department and Security","Detectives and Security Experts","Oct 22","5"
"LEP","Black Country","Police, Fire Department and Security","Firefighters","Oct 22","[x]"
"LEP","Black Country","Police, Fire Department and Security","Heads of Police, Fire and Security","Oct 22","15"
"LEP","Black Country","Police, Fire Department and Security","Police Inspectors","Oct 22","[x]"
"LEP","Black Country","Police, Fire Department and Security","Police Investigators","Oct 22","[x]"
"LEP","Black Country","Police, Fire Department and Security","Police, Fire Department and Security (other)","Oct 22","[x]"
"LEP","Black Country","Police, Fire Department and Security","Policemen","Oct 22","25"
"LEP","Black Country","Police, Fire Department and Security","Prison Guards","Oct 22","25"
"LEP","Black Country","Police, Fire Department and Security","Safety and Security Personnel","Oct 22","90"
"LEP","Black Country","Procurement and Warehouse Management","Buyers","Oct 22","100"
"LEP","Black Country","Procurement and Warehouse Management","Goods Handling, Crane Operators and Drivers","Oct 22","150"
"LEP","Black Country","Procurement and Warehouse Management","Heads of Procurement and Warehouse Management","Oct 22","75"
"LEP","Black Country","Procurement and Warehouse Management","Loaders and Order Pickers","Oct 22","50"
"LEP","Black Country","Procurement and Warehouse Management","Procurement and Warehouse Management (other)","Oct 22","[x]"
"LEP","Black Country","Procurement and Warehouse Management","Warehouse Managers","Oct 22","70"
"LEP","Black Country","Procurement and Warehouse Management","Warehouse Staff and Box Fillers","Oct 22","325"
"LEP","Black Country","Production","Automation Assistants","Oct 22","5"
"LEP","Black Country","Production","Butchers, Slaughterers and Bakers","Oct 22","15"
"LEP","Black Country","Production","CNC Operators and Programmers","Oct 22","210"
"LEP","Black Country","Production","Constructors, Builders, and Fitters","Oct 22","45"
"LEP","Black Country","Production","Engravers, Hand Printers, and Precision Painters","Oct 22","[x]"
"LEP","Black Country","Production","Food Processing Personnel","Oct 22","[x]"
"LEP","Black Country","Production","Foundries, Casting Model Makers","Oct 22","15"
"LEP","Black Country","Production","Glass and Stone Workers","Oct 22","10"
"LEP","Black Country","Production","Graphics Finishers","Oct 22","5"
"LEP","Black Country","Production","Jewellers and Gem Processors","Oct 22","[x]"
"LEP","Black Country","Production","Machine Woodworkers","Oct 22","15"
"LEP","Black Country","Production","Machined Metal Workers","Oct 22","75"
"LEP","Black Country","Production","Machined Plastics Processors","Oct 22","[x]"
"LEP","Black Country","Production","Painters and Sprayers","Oct 22","35"
"LEP","Black Country","Production","Photography and Microchips Developers","Oct 22","[x]"
"LEP","Black Country","Production","Printers","Oct 22","[x]"
"LEP","Black Country","Production","Printing Preparation and Layout Personnel","Oct 22","5"
"LEP","Black Country","Production","Process Operators","Oct 22","10"
"LEP","Black Country","Production","Production (other)","Oct 22","5"
"LEP","Black Country","Production","Production Managers","Oct 22","125"
"LEP","Black Country","Production","Production Personnel","Oct 22","310"
"LEP","Black Country","Production","Production Supervisors","Oct 22","60"
"LEP","Black Country","Production","Quality Controllers and Sorters","Oct 22","60"
"LEP","Black Country","Production","Textile Personnel","Oct 22","25"
"LEP","Black Country","Production","Welders, Solderers, and Brazers","Oct 22","180"
"LEP","Black Country","Production","Wood Workers","Oct 22","15"
"LEP","Black Country","Sales and Trading","Advertisements and Publicity Promotors and Personnel","Oct 22","5"
"LEP","Black Country","Sales and Trading","Articles and Products Representives","Oct 22","105"
"LEP","Black Country","Sales and Trading","Auctioneers and Staff","Oct 22","[x]"
"LEP","Black Country","Sales and Trading","Brokers","Oct 22","50"
"LEP","Black Country","Sales and Trading","Business Services Account Managers","Oct 22","210"
"LEP","Black Country","Sales and Trading","Commercial Personnel and Telemarketers","Oct 22","110"
"LEP","Black Country","Sales and Trading","Front Desk and Rental Personnel","Oct 22","20"
"LEP","Black Country","Sales and Trading","Market and Street Vendors","Oct 22","15"
"LEP","Black Country","Sales and Trading","Retail Sales Leaders","Oct 22","115"
"LEP","Black Country","Sales and Trading","Sales and Trading (other)","Oct 22","[x]"
"LEP","Black Country","Sales and Trading","Sales Managers","Oct 22","355"
"LEP","Black Country","Sales and Trading","Sellers","Oct 22","385"
"LEP","Black Country","Sales and Trading","Traders","Oct 22","10"
"LEP","Black Country","Transport and Traffic","Air Traffic Controllers, Traffic Controllers, and Harbourmasters","Oct 22","[x]"
"LEP","Black Country","Transport and Traffic","Air, Water and Road Inspectors","Oct 22","[x]"
"LEP","Black Country","Transport and Traffic","Carriage and Transport Managers","Oct 22","15"
"LEP","Black Country","Transport and Traffic","Couriers and Delivery Personnel","Oct 22","15"
"LEP","Black Country","Transport and Traffic","Freight Drivers","Oct 22","385"
"LEP","Black Country","Transport and Traffic","Loading and Unloading Workers","Oct 22","15"
"LEP","Black Country","Transport and Traffic","Pilots","Oct 22","[x]"
"LEP","Black Country","Transport and Traffic","Public and Private Chauffeurs/drivers","Oct 22","65"
"LEP","Black Country","Transport and Traffic","Sea Captains and Mates","Oct 22","[x]"
"LEP","Black Country","Transport and Traffic","Service Leaders and Coordinators","Oct 22","10"
"LEP","Black Country","Transport and Traffic","Train Drivers and Conductors","Oct 22","10"
"LEP","Black Country","Transport and Traffic","Transport and Traffic (other)","Oct 22","5"
"LEP","Buckinghamshire","Administration and Customer Service","Administration and Customer Service (other)","Oct 22","15"
"LEP","Buckinghamshire","Administration and Customer Service","Administrative Personnel","Oct 22","185"
"LEP","Buckinghamshire","Administration and Customer Service","Customer Service Personnel","Oct 22","190"
"LEP","Buckinghamshire","Administration and Customer Service","Financial-administrative Personnel","Oct 22","145"
"LEP","Buckinghamshire","Administration and Customer Service","Heads of Administration and Customer Services","Oct 22","205"
"LEP","Buckinghamshire","Administration and Customer Service","Personnel and Salaries Administrators","Oct 22","35"
"LEP","Buckinghamshire","Administration and Customer Service","Planners","Oct 22","95"
"LEP","Buckinghamshire","Administration and Customer Service","Receptionists","Oct 22","100"
"LEP","Buckinghamshire","Administration and Customer Service","Schedulers and Coordinators","Oct 22","[x]"
"LEP","Buckinghamshire","Administration and Customer Service","Secretaries","Oct 22","50"
"LEP","Buckinghamshire","Administration and Customer Service","Telephonists and Announcers","Oct 22","[x]"
"LEP","Buckinghamshire","Administration and Customer Service","Typists","Oct 22","5"
"LEP","Buckinghamshire","Agriculture, Livestock and Fishing","Agricultural and Livestock Specialists","Oct 22","[x]"
"LEP","Buckinghamshire","Agriculture, Livestock and Fishing","Agricultural Employees","Oct 22","5"
"LEP","Buckinghamshire","Agriculture, Livestock and Fishing","Agriculture and Fisheries Supervisors","Oct 22","20"
"LEP","Buckinghamshire","Agriculture, Livestock and Fishing","Agriculture, Livestock and Fishing (other)","Oct 22","[x]"
"LEP","Buckinghamshire","Agriculture, Livestock and Fishing","Cultivators","Oct 22","[x]"
"LEP","Buckinghamshire","Agriculture, Livestock and Fishing","Farmers and Animal Breeders","Oct 22","[x]"
"LEP","Buckinghamshire","Agriculture, Livestock and Fishing","Fishermen and Fish Farmers","Oct 22","[x]"
"LEP","Buckinghamshire","Agriculture, Livestock and Fishing","Forest Workers and Managers","Oct 22","5"
"LEP","Buckinghamshire","Agriculture, Livestock and Fishing","Gardeners","Oct 22","25"
"LEP","Buckinghamshire","Agriculture, Livestock and Fishing","Inspectors and Regulators","Oct 22","[x]"
"LEP","Buckinghamshire","Agriculture, Livestock and Fishing","Veterinarians","Oct 22","55"
"LEP","Buckinghamshire","Arts, Culture and Media","Actors","Oct 22","[x]"
"LEP","Buckinghamshire","Arts, Culture and Media","Art, Culture, and Media Managers","Oct 22","5"
"LEP","Buckinghamshire","Arts, Culture and Media","Arts, Culture and Media (other)","Oct 22","10"
"LEP","Buckinghamshire","Arts, Culture and Media","Audio/visual Editors","Oct 22","[x]"
"LEP","Buckinghamshire","Arts, Culture and Media","Conductors, Composers, and Choreographers","Oct 22","[x]"
"LEP","Buckinghamshire","Arts, Culture and Media","Directors and Producers","Oct 22","15"
"LEP","Buckinghamshire","Arts, Culture and Media","Film, Theatre, Television, and Studio Technicians","Oct 22","5"
"LEP","Buckinghamshire","Arts, Culture and Media","Illustrators and Designers (2D)","Oct 22","20"
"LEP","Buckinghamshire","Arts, Culture and Media","Illustrators and Designers (3D)","Oct 22","30"
"LEP","Buckinghamshire","Arts, Culture and Media","Journalists and Editors","Oct 22","30"
"LEP","Buckinghamshire","Arts, Culture and Media","Librarians and Documentalists","Oct 22","10"
"LEP","Buckinghamshire","Arts, Culture and Media","Museum Personnel","Oct 22","5"
"LEP","Buckinghamshire","Arts, Culture and Media","Musicians, Singers and Dancers","Oct 22","5"
"LEP","Buckinghamshire","Arts, Culture and Media","Photographers and Cameramen","Oct 22","[x]"
"LEP","Buckinghamshire","Arts, Culture and Media","Presenters","Oct 22","[x]"
"LEP","Buckinghamshire","Arts, Culture and Media","Restorers","Oct 22","[x]"
"LEP","Buckinghamshire","Arts, Culture and Media","Translators and Interpreters","Oct 22","15"
"LEP","Buckinghamshire","Arts, Culture and Media","Writers and Poets","Oct 22","5"
"LEP","Buckinghamshire","Cleaning and Maintenance","Buildings and Premises Cleaners","Oct 22","15"
"LEP","Buckinghamshire","Cleaning and Maintenance","Caretakers and Administrators","Oct 22","125"
"LEP","Buckinghamshire","Cleaning and Maintenance","Cleaning and Maintenance (other)","Oct 22","[x]"
